month_year,broadband_subscriptions,penetration_pct
2020-01-01,73466093,38.49
2020-02-01,75555604,39.58
2020-03-01,76074856,39.85
2020-04-01,75469345,39.54
2020-05-01,76530174,40.09
2020-06-01,78695408,41.23
2020-07-01,80215614,42.02
2020-08-01,82653247,43.3
2020-09-01,86714978,45.43
2020-10-01,87675911,45.93
2020-11-01,86031162,45.07
2020-12-01,85941222,45.02
2021-01-01,81949983,42.93
2021-02-01,80280149,42.06
2021-03-01,78613689,41.18
2021-04-01,77605500,40.66
2021-05-01,75569442,39.59
2021-06-01,76289063,39.97
2021-07-01,75952406,39.79
2021-08-01,78255250,41.0
2021-09-01,76365158,40.01
2021-10-01,76146156,39.89
2021-11-01,76314183,39.98
2021-12-01,78041883,40.88
2022-01-01,79433833,41.61
2022-02-01,78082273,40.91
2022-03-01,80678301,42.24
2022-04-01,81676539,42.79
2022-05-01,83365233,43.67
2022-06-01,84607363,44.32
2022-07-01,84917994,44.49
2022-08-01,85232291,44.65
2022-09-01,86062025,45.09
2022-10-01,86949451,45.55
2022-11-01,88273690,46.24
2022-12-01,90398960,47.36
2023-01-01,92011259,48.2
2023-02-01,92561842,48.49
2023-03-01,92033267,48.21
2023-04-01,91886980,48.14
2023-05-01,92169176,48.28
2023-06-01,89730341,47.01
2023-07-01,89730341,47.01
2023-08-01,86993472,45.57
2023-09-01,88554318,40.85
2023-10-01,88907930,41.01
2023-11-01,90765310,41.87
2023-12-01,94757184,43.71
2024-01-01,92195937,42.53
2024-02-01,93395591,43.08
2024-03-01,94364751,43.53
2024-04-01,95008730,43.83
2024-05-01,94940739,43.8
2024-06-01,95215547,43.92
2024-07-01,95474897,44.04
2024-08-01,93567464,43.16
2024-09-01,90102835,41.56
2024-10-01,91576992,42.24
2024-11-01,93553834,43.16
2024-12-01,96321215,44.43
2025-01-01,98875607,45.61
2025-02-01,100983189,46.58
2025-03-01,103478089,47.73
2025-04-01,104381796,48.15
2025-05-01,105818293,48.81
2025-06-01,105749786,48.78
2025-07-01,104068105,48.01
2025-08-01,105158577,48.81
2025-09-01,106970523,49.34
2025-10-01,108159922,49.89
2025-11-01,109658663,50.58
2025-12-01,112665176,51.97
