month_year,operator_name,internet_subscribers
2020-01-01,Airtel,35502654
2020-01-01,T2,8040261
2020-01-01,Globacom,29205304
2020-01-01,MTN,55527289
2020-01-01,Visafone,90196
2020-02-01,Airtel,36173128
2020-02-01,T2,7944041
2020-02-01,Globacom,30953805
2020-02-01,MTN,56488103
2020-02-01,Visafone,88818
2020-03-01,Airtel,36827677
2020-03-01,T2,7762068
2020-03-01,Globacom,33871456
2020-03-01,MTN,57282123
2020-04-01,Airtel,36869468
2020-04-01,T2,7459943
2020-04-01,Globacom,35943825
2020-04-01,MTN,57980716
2020-05-01,Airtel,37317972
2020-05-01,T2,7255348
2020-05-01,Globacom,37236539
2020-05-01,MTN,58863174
2020-06-01,Airtel,37566756
2020-06-01,T2,7094421
2020-06-01,Globacom,37971313
2020-06-01,MTN,60603599
2020-07-01,Airtel,39054191
2020-07-01,T2,7137687
2020-07-01,Globacom,38256324
2020-07-01,MTN,62290987
2020-08-01,Airtel,39792653
2020-08-01,T2,7170308
2020-08-01,Globacom,38487665
2020-08-01,MTN,63888343
2020-09-01,Airtel,40311910
2020-09-01,T2,7274781
2020-09-01,Globacom,39125895
2020-09-01,MTN,64350827
2020-10-01,Airtel,40739611
2020-10-01,T2,7296822
2020-10-01,Globacom,39424185
2020-10-01,MTN,65020758
2020-11-01,Airtel,41524039
2020-11-01,T2,7239635
2020-11-01,Globacom,39906199
2020-11-01,MTN,65767750
2020-12-01,Airtel,41287733
2020-12-01,T2,7120088
2020-12-01,Globacom,40106659
2020-12-01,MTN,65359306
2021-01-01,Airtel,40033762
2021-01-01,T2,6880093
2021-01-01,Globacom,39995771
2021-01-01,MTN,63988496
2021-02-01,Airtel,38956026
2021-02-01,T2,6632988
2021-02-01,Globacom,39701037
2021-02-01,MTN,62843182
2021-03-01,Airtel,37778569
2021-03-01,T2,6418918
2021-03-01,Globacom,38808216
2021-03-01,MTN,61575323
2021-04-01,Airtel,37027112
2021-04-01,T2,6223677
2021-04-01,Globacom,37710930
2021-04-01,MTN,60445605
2021-05-01,Airtel,36120443
2021-05-01,T2,6217083
2021-05-01,Globacom,37592200
2021-05-01,MTN,60202402
2021-06-01,Airtel,36235905
2021-06-01,T2,6108151
2021-06-01,Globacom,37875966
2021-06-01,MTN,59594891
2021-07-01,Airtel,36053223
2021-07-01,T2,6108151
2021-07-01,Globacom,38214155
2021-07-01,MTN,59008651
2021-08-01,Airtel,36613984
2021-08-01,T2,5992735
2021-08-01,Globacom,38667264
2021-08-01,MTN,58596064
2021-09-01,Airtel,36706811
2021-09-01,T2,5901383
2021-09-01,Globacom,38902243
2021-09-01,MTN,58412242
2021-10-01,Airtel,36894332
2021-10-01,T2,5802330
2021-10-01,Globacom,38969417
2021-10-01,MTN,58317291
2021-11-01,Airtel,36921378
2021-11-01,T2,5774299
2021-11-01,Globacom,39260722
2021-11-01,MTN,58104524
2021-12-01,Airtel,37526624
2021-12-01,T2,5752702
2021-12-01,Globacom,39525269
2021-12-01,MTN,58812428
2022-01-01,Airtel,38309486
2022-01-01,T2,5740247
2022-01-01,Globacom,39573535
2022-01-01,MTN,59582248
2022-02-01,Airtel,38763384
2022-02-01,T2,5640090
2022-02-01,Globacom,39372310
2022-02-01,MTN,59921856
2022-03-01,Airtel,39374465
2022-03-01,T2,5552068
2022-03-01,Globacom,39568503
2022-03-01,MTN,60707392
2022-04-01,Airtel,40292656
2022-04-01,T2,5444451
