month_year,internet_data_usage_tb
2023-01-01,517670.15
2023-02-01,507307.37
2023-03-01,562960.57
2023-04-01,556540.42
2023-05-01,581472.8
2023-06-01,587865.58
2023-07-01,615207.39
2023-08-01,655879.86
2023-09-01,653257.86
2023-10-01,675250.54
2023-11-01,645407.1
2023-12-01,713200.6
2024-01-01,721522.0
2024-02-01,694804.54
2024-03-01,753388.77
2024-04-01,766708.12
2024-05-01,771993.56
2024-06-01,798583.81
2024-07-01,829584.47
2024-08-01,853954.05
2024-09-01,850249.09
2024-10-01,870398.28
2024-11-01,878953.14
2024-12-01,973455.35
2025-01-01,1000930.6
2025-02-01,893054.8
2025-03-01,995876.1
2025-04-01,983283.43
2025-05-01,1043431.98
2025-06-01,1044073.08
2025-07-01,1131255.9
2025-08-01,1152347.24
2025-09-01,1147133.24
2025-10-01,1235459.47
2025-11-01,1236544.1
2025-12-01,1386238.23
