month_year,technology,share_pct
2023-05-01,2G,58.36
2023-05-01,3G,16.46
2023-05-01,4G,25.06
2023-05-01,5G,0.12
2023-06-01,2G,59.24
2023-06-01,3G,15.46
2023-06-01,4G,25.16
2023-06-01,5G,0.14
2023-07-01,2G,60.85
2023-07-01,3G,14.85
2023-07-01,4G,24.16
2023-07-01,5G,0.13
2023-08-01,2G,60.47
2023-08-01,3G,9.57
2023-08-01,4G,29.13
2023-08-01,5G,0.83
2023-09-01,2G,60.08
2023-09-01,3G,10.57
2023-09-01,4G,28.47
2023-09-01,5G,0.88
2023-10-01,2G,60.0
2023-10-01,3G,9.96
2023-10-01,4G,29.14
2023-10-01,5G,0.9
2023-11-01,2G,59.32
2023-11-01,3G,9.81
2023-11-01,4G,29.91
2023-11-01,5G,0.96
2023-12-01,2G,57.84
2023-12-01,3G,9.8
2023-12-01,4G,31.33
2023-12-01,5G,1.04
2024-01-01,2G,57.78
2024-01-01,3G,9.36
2024-01-01,4G,31.75
2024-01-01,5G,1.11
2024-02-01,2G,57.55
2024-02-01,3G,9.17
2024-02-01,4G,32.11
2024-02-01,5G,1.18
2024-03-01,2G,56.97
2024-03-01,3G,9.04
2024-03-01,4G,32.74
2024-03-01,5G,1.24
2024-04-01,2G,56.22
2024-04-01,3G,8.92
2024-04-01,4G,33.56
2024-04-01,5G,1.31
2024-05-01,2G,44.86
2024-05-01,3G,10.78
2024-05-01,4G,42.63
2024-05-01,5G,1.73
2024-06-01,2G,44.3
2024-06-01,3G,10.54
2024-06-01,4G,43.35
2024-06-01,5G,1.81
2024-07-01,2G,42.72
2024-07-01,3G,10.43
2024-07-01,4G,44.9
2024-07-01,5G,1.95
2024-08-01,2G,41.36
2024-08-01,3G,10.24
2024-08-01,4G,46.28
2024-08-01,5G,2.12
2024-09-01,2G,43.53
2024-09-01,3G,9.32
2024-09-01,4G,44.96
2024-09-01,5G,2.19
2024-10-01,2G,42.0
2024-10-01,3G,9.4
2024-10-01,4G,46.27
2024-10-01,5G,2.33
2024-11-01,2G,41.5
2024-11-01,3G,9.03
2024-11-01,4G,47.09
2024-11-01,5G,2.39
2024-12-01,2G,41.59
2024-12-01,3G,8.75
2024-12-01,4G,47.2
2024-12-01,5G,2.46
2025-01-01,2G,41.63
2025-01-01,3G,8.6
2025-01-01,4G,47.23
2025-01-01,5G,2.54
2025-02-01,2G,40.93
2025-02-01,3G,8.48
2025-02-01,4G,47.98
2025-02-01,5G,2.61
2025-03-01,2G,40.08
2025-03-01,3G,8.4
2025-03-01,4G,48.82
2025-03-01,5G,2.7
2025-04-01,2G,39.67
2025-04-01,3G,8.25
2025-04-01,4G,49.27
2025-04-01,5G,2.81
2025-05-01,2G,38.76
2025-05-01,3G,8.02
2025-05-01,4G,50.29
2025-05-01,5G,2.93
2025-06-01,2G,38.47
2025-06-01,3G,7.66
2025-06-01,4G,50.8
2025-06-01,5G,3.07
2025-07-01,2G,38.6
2025-07-01,3G,7.38
2025-07-01,4G,50.85
2025-07-01,5G,3.17
2025-08-01,2G,38.38
2025-08-01,3G,7.13
2025-08-01,4G,51.22
2025-08-01,5G,3.27
2025-09-01,2G,38.44
2025-09-01,3G,6.64
2025-09-01,4G,51.56
2025-09-01,5G,3.37
2025-10-01,2G,38.4
2025-10-01,3G,6.34
2025-10-01,4G,51.77
2025-10-01,5G,3.49
2025-11-01,2G,38.29
2025-11-01,3G,6.13
2025-11-01,4G,51.99
2025-11-01,5G,3.6
2025-12-01,2G,37.37
2025-12-01,3G,5.91
2025-12-01,4G,52.95
2025-12-01,5G,3.77
