month_year,reported_total
2020-01-01,128365704
2020-02-01,131647895
2020-03-01,135743324
2020-04-01,138253952
2020-05-01,140673033
2020-06-01,143236089
2020-07-01,146739189
2020-08-01,149338969
2020-09-01,151063413
2020-10-01,152481376
2020-11-01,154437623
2020-12-01,153873786
2021-01-01,150898122
2021-02-01,148133233
2021-03-01,144581026
2021-04-01,141407324
2021-05-01,140132128
2021-06-01,139814913
2021-07-01,139384180
2021-08-01,139870047
2021-09-01,139922679
2021-10-01,139983370
2021-11-01,140060923
2021-12-01,141617023
2022-01-01,143205516
2022-02-01,143697640
2022-03-01,145202428
2022-04-01,147448922
2022-05-01,149781122
2022-06-01,150742833
2022-07-01,151426967
2022-08-01,151712992
2022-09-01,152220957
2022-10-01,152148976
2022-11-01,152320351
2022-12-01,154277373
2023-01-01,155675178
2023-02-01,156420881
2023-03-01,156989223
2023-04-01,157667708
2023-05-01,159038028
2023-06-01,158944660
2023-07-01,158982962
2023-08-01,158475341
2023-09-01,159604255
2023-10-01,160533007
2023-11-01,161476682
2023-12-01,163353643
2024-01-01,161504390
2024-02-01,162808826
2024-03-01,163895185
2024-04-01,164023607
2024-05-01,136561704
2024-06-01,135942275
2024-07-01,134435733
2024-08-01,130946321
2024-09-01,132406212
2024-10-01,134279501
2024-11-01,136032598
2024-12-01,138774972
2025-01-01,141655587
2025-02-01,140741377
2025-03-01,141541831
2025-04-01,141471371
2025-05-01,141051051
2025-06-01,140643046
2025-07-01,138220051
2025-08-01,139789283
2025-09-01,140358821
2025-10-01,142004662
2025-11-01,144151655
2025-12-01,147519262
