month_year,operator_name,gsm_subscribers
2020-01-01,Airtel,49997710
2020-01-01,T2,13157543
2020-01-01,Globacom,51755561
2020-01-01,MTN,70693058
2020-01-01,Visafone,138144
2020-02-01,Airtel,50488099
2020-02-01,T2,12243810
2020-02-01,Globacom,51804359
2020-02-01,MTN,72473624
2020-02-01,Visafone,137086
2020-03-01,Airtel,51298878
2020-03-01,T2,12123185
2020-03-01,Globacom,51856114
2020-03-01,MTN,73573788
2020-04-01,Airtel,51258382
2020-04-01,T2,12568088
2020-04-01,Globacom,51838290
2020-04-01,MTN,74673648
2020-05-01,Airtel,51496256
2020-05-01,T2,12225678
2020-05-01,Globacom,52057254
2020-05-01,MTN,76017864
2020-06-01,Airtel,52462347
2020-06-01,T2,12111674
2020-06-01,Globacom,52573907
2020-06-01,MTN,78754855
2020-07-01,Airtel,53705705
2020-07-01,T2,12163330
2020-07-01,Globacom,52741762
2020-07-01,MTN,80350564
2020-08-01,Airtel,54766947
2020-08-01,T2,12377612
2020-08-01,Globacom,52934089
2020-08-01,MTN,83083913
2020-09-01,Airtel,55250798
2020-09-01,T2,12729222
2020-09-01,Globacom,54254550
2020-09-01,MTN,82635082
2020-10-01,Airtel,56214072
2020-10-01,T2,12953121
2020-10-01,Globacom,55079362
2020-10-01,MTN,83331682
2020-11-01,Airtel,57231523
2020-11-01,T2,13188059
2020-11-01,Globacom,55089386
2020-11-01,MTN,82022621
2020-12-01,Airtel,55642209
2020-12-01,T2,12982149
2020-12-01,Globacom,54840129
2020-12-01,MTN,80764128
2021-01-01,Airtel,53425229
2021-01-01,T2,12808582
2021-01-01,Globacom,54594502
2021-01-01,MTN,79035514
2021-02-01,Airtel,51433333
2021-02-01,T2,12772889
2021-02-01,Globacom,54179431
2021-02-01,MTN,77349014
2021-03-01,Airtel,50384950
2021-03-01,T2,12850383
2021-03-01,Globacom,52918718
2021-03-01,MTN,75927231
2021-04-01,Airtel,50177408
2021-04-01,T2,12779155
2021-04-01,Globacom,50598855
2021-04-01,MTN,74819864
2021-05-01,Airtel,50026788
2021-05-01,T2,12842775
2021-05-01,Globacom,49781215
2021-05-01,MTN,74044687
2021-06-01,Airtel,50665723
2021-06-01,T2,12908092
2021-06-01,Globacom,50130540
2021-06-01,MTN,73571192
2021-07-01,Airtel,50301237
2021-07-01,T2,12908092
2021-07-01,Globacom,51137799
2021-07-01,MTN,73123732
2021-08-01,Airtel,50860024
2021-08-01,T2,13021179
2021-08-01,Globacom,51983266
2021-08-01,MTN,73133330
2021-09-01,Airtel,51035565
2021-09-01,T2,12983433
2021-09-01,Globacom,52934990
2021-09-01,MTN,73566926
2021-10-01,Airtel,51869068
2021-10-01,T2,12811869
2021-10-01,Globacom,53330987
2021-10-01,MTN,73606915
2021-11-01,Airtel,52907471
2021-11-01,T2,12757796
2021-11-01,Globacom,53733262
2021-11-01,MTN,73455877
2021-12-01,Airtel,53926886
2021-12-01,T2,12789344
2021-12-01,Globacom,54817353
2021-12-01,MTN,73594682
2022-01-01,Airtel,54635863
2022-01-01,T2,12844810
2022-01-01,Globacom,54941362
2022-01-01,MTN,74730738
2022-02-01,Airtel,55004561
2022-02-01,T2,12842909
2022-02-01,Globacom,54987328
2022-02-01,MTN,74933684
2022-03-01,Airtel,55370983
2022-03-01,T2,12770917
2022-03-01,Globacom,55881893
2022-03-01,MTN,75177563
2022-04-01,Airtel,56238397
2022-04-01,T2,12737270
2022-04-01,Globacom,56140334
2022-04-01,MTN,76196034
2022-05-01,Airtel,57620868
2022-05-01,T2,12657425
2022-05-01,Globacom,56226479
2022-05-01,MTN,77709875
2022-06-01,Airtel,58143494
2022-06-01,T2,12659356
2022-06-01,Globacom,56226479
2022-06-01,MTN,79052391
2022-07-01,Airtel,58234449
2022-07-01,T2,12595516
2022-07-01,Globacom,58330200
2022-07-01,MTN,79444831
2022-08-01,Airtel,58369443
2022-08-01,T2,12759000
2022-08-01,Globacom,58868524
2022-08-01,MTN,79604986
2022-09-01,Airtel,58403066
2022-09-01,T2,12842575
2022-09-01,Globacom,59395911
2022-09-01,MTN,81210549
2022-10-01,Airtel,58669071
2022-10-01,T2,12771293
2022-10-01,Globacom,59637842
2022-10-01,MTN,83271892
2022-11-01,Airtel,59382939
2022-11-01,T2,12841105
2022-11-01,Globacom,59950116
2022-11-01,MTN,86434447
2022-12-01,Airtel,60065904
2022-12-01,T2,12852706
2022-12-01,Globacom,60290012
2022-12-01,MTN,89016678
2023-01-01,Airtel,60563767
2023-01-01,T2,13031585
2023-01-01,Globacom,60334534
2023-01-01,MTN,91950307
2023-02-01,Airtel,60300140
2023-02-01,T2,13073342
2023-02-01,Globacom,60755096
2023-02-01,MTN,92707154
2023-03-01,Airtel,60328560
2023-03-01,T2,13140608
2023-03-01,Globacom,60799946
2023-03-01,MTN,91552179
2023-04-01,Airtel,60331845
2023-04-01,T2,13403345
2023-04-01,Globacom,60927963
2023-04-01,MTN,88675062
2023-05-01,Airtel,60527768
2023-05-01,T2,13660665
2023-05-01,Globacom,61153677
2023-05-01,MTN,85589578
2023-06-01,Airtel,60190732
2023-06-01,T2,13578431
2023-06-01,Globacom,61333528
2023-06-01,MTN,84663653
2023-07-01,Airtel,60083943
2023-07-01,T2,13754536
2023-07-01,Globacom,61357093
2023-07-01,MTN,85341661
2023-08-01,Airtel,60169082
2023-08-01,T2,13791079
2023-08-01,Globacom,61395108
2023-08-01,MTN,85005917
2023-09-01,Airtel,60272854
2023-09-01,T2,13762115
2023-09-01,Globacom,61451508
2023-09-01,MTN,85854576
2023-10-01,Airtel,60670877
2023-10-01,T2,13823880
2023-10-01,Globacom,61505418
2023-10-01,MTN,85748549
2023-11-01,Airtel,61298628
2023-11-01,T2,13979025
2023-11-01,Globacom,61541161
2023-11-01,MTN,85984741
2023-12-01,Airtel,61834105
2023-12-01,T2,13935482
2023-12-01,Globacom,61604576
2023-12-01,MTN,87038768
2024-01-01,Airtel,62601992
2024-01-01,T2,13799694
2024-01-01,Globacom,61926445
2024-01-01,MTN,79784880
2024-02-01,Airtel,63036167
2024-02-01,T2,13648177
2024-02-01,Globacom,62103201
2024-02-01,MTN,80895695
2024-03-01,Airtel,63357061
2024-03-01,T2,11657703
2024-03-01,Globacom,62191448
2024-03-01,MTN,81799666
2024-04-01,Airtel,62933351
2024-04-01,T2,8956568
2024-04-01,Globacom,62055248
2024-04-01,MTN,82716236
2024-05-01,Airtel,60713852
2024-05-01,T2,6076095
2024-05-01,Globacom,21762191
2024-05-01,MTN,83250406
2024-06-01,Airtel,59965807
2024-06-01,T2,5834159
2024-06-01,Globacom,21001155
2024-06-01,MTN,83767545
2024-07-01,Airtel,58161965
2024-07-01,T2,4650322
2024-07-01,Globacom,21240976
2024-07-01,MTN,82273039
2024-08-01,Airtel,53047012
2024-08-01,T2,4650322
2024-08-01,Globacom,21414774
2024-08-01,MTN,80131147
2024-09-01,Airtel,53748688
2024-09-01,T2,3635160
2024-09-01,Globacom,19152907
2024-09-01,MTN,78097681
2024-10-01,Airtel,54446118
2024-10-01,T2,3389897
2024-10-01,Globacom,19108272
2024-10-01,MTN,80376120
2024-11-01,Airtel,55428732
2024-11-01,T2,3283270
2024-11-01,Globacom,19639983
2024-11-01,MTN,81220470
2024-12-01,Airtel,56619381
2024-12-01,T2,3283270
2024-12-01,Globacom,20137951
2024-12-01,MTN,84607831
2025-01-01,Airtel,57665796
2025-01-01,T2,3283270
2025-01-01,Globacom,20545782
2025-01-01,MTN,87549410
2025-02-01,Airtel,57864439
2025-02-01,T2,2964445
2025-02-01,Globacom,20527965
2025-02-01,MTN,89259472
2025-03-01,Airtel,58255824
2025-03-01,T2,2964445
2025-03-01,Globacom,20716119
2025-03-01,MTN,90494670
2025-04-01,Airtel,58586914
2025-04-01,T2,2964445
2025-04-01,Globacom,20607726
2025-04-01,MTN,90508170
2025-05-01,Airtel,58929511
2025-05-01,T2,2673231
2025-05-01,Globacom,20622027
2025-05-01,MTN,90249857
2025-06-01,Airtel,58965827
2025-06-01,T2,2436993
2025-06-01,Globacom,20885055
2025-06-01,MTN,89243348
2025-07-01,Airtel,56523790
2025-07-01,T2,2727594
2025-07-01,Globacom,20741354
2025-07-01,MTN,89137003
2025-08-01,Airtel,58073856
2025-08-01,T2,2727594
2025-08-01,Globacom,20914598
2025-08-01,MTN,89636543
2025-09-01,Airtel,58470480
2025-09-01,T2,3114222
2025-09-01,Globacom,21391786
2025-09-01,MTN,90336649
2025-10-01,Airtel,59039563
2025-10-01,T2,3131570
2025-10-01,Globacom,21833946
2025-10-01,MTN,91077821
2025-11-01,Airtel,59849113
2025-11-01,T2,3188238
2025-11-01,Globacom,22215119
2025-11-01,MTN,91935415
2025-12-01,Airtel,60893280
2025-12-01,T2,3228213
2025-12-01,Globacom,22225610
2025-12-01,MTN,93064952
