month_year,reported_total
2020-01-01,185742016
2020-02-01,187146978
2020-03-01,188851965
2020-04-01,190338408
2020-05-01,191934138
2020-06-01,195902783
2020-07-01,198961361
2020-08-01,203162561
2020-09-01,204869652
2020-10-01,207578237
2020-11-01,207531589
2020-12-01,204149436
2021-01-01,199863827
2021-02-01,195734667
2021-03-01,192081282
2021-04-01,188375282
2021-05-01,186695465
2021-06-01,187275547
2021-07-01,187470860
2021-08-01,188997799
2021-09-01,190520914
2021-10-01,191618839
2021-11-01,192854406
2021-12-01,195128265
2022-01-01,197152773
2022-02-01,197768482
2022-03-01,199201356
2022-04-01,201312035
2022-05-01,204214647
2022-06-01,206081720
2022-07-01,208604996
2022-08-01,209601953
2022-09-01,211852101
2022-10-01,214350098
2022-11-01,218608607
2022-12-01,222225300
2023-01-01,225880193
2023-02-01,226835732
2023-03-01,225821293
2023-04-01,223338215
2023-05-01,220931688
2023-06-01,219766344
2023-07-01,220537233
2023-08-01,220361186
2023-09-01,221341053
2023-10-01,221748724
2023-11-01,222803555
2023-12-01,224412931
2024-01-01,218113011
2024-02-01,219683240
2024-03-01,219005878
2024-04-01,216661403
2024-05-01,171802544
2024-06-01,170568666
2024-07-01,166326302
2024-08-01,159243255
2024-09-01,154634436
2024-10-01,157320407
2024-11-01,159572455
2024-12-01,164648433
2025-01-01,169044258
2025-02-01,170616321
2025-03-01,172431058
2025-04-01,172667255
2025-05-01,172474626
2025-06-01,171531223
2025-07-01,169129741
2025-08-01,171352591
2025-09-01,173313137
2025-10-01,175082900
2025-11-01,177187885
2025-12-01,179412055
