month_year,total_subscribers,teledensity_pct
2020-01-01,186023609,97.45
2020-02-01,187435821,98.19
2020-03-01,189145710,99.09
2020-04-01,190668981,99.89
2020-05-01,192130804,100.65
2020-06-01,196242456,102.81
2020-07-01,199307796,104.41
2020-08-01,203529809,106.62
2020-09-01,205252058,107.52
2020-10-01,207954737,108.94
2020-11-01,207907709,108.92
2020-12-01,204601313,107.18
2021-01-01,200213994,104.89
2021-02-01,196078494,102.72
2021-03-01,192413613,100.8
2021-04-01,188705734,98.86
2021-05-01,187026517,97.98
2021-06-01,187611501,98.28
2021-07-01,187805237,98.39
2021-08-01,189330257,99.18
2021-09-01,190854069,99.98
2021-10-01,191951769,100.56
2021-11-01,193186325,101.2
2021-12-01,195463898,102.4
2022-01-01,197499028,103.46
2022-02-01,198123431,103.79
2022-03-01,199558540,104.54
2022-04-01,201670650,105.65
2022-05-01,204578953,107.17
2022-06-01,206449125,108.15
2022-07-01,208969445,109.47
2022-08-01,209952619,109.99
2022-09-01,212201578,111.17
2022-10-01,214696227,112.47
2022-11-01,218953849,114.7
2022-12-01,222571568,116.6
2023-01-01,226226754,118.51
2023-02-01,227179946,119.01
2023-03-01,226161713,118.48
2023-04-01,223663521,117.17
2023-05-01,221258372,115.91
2023-06-01,220086951,115.3
2023-07-01,220860987,115.7
2023-08-01,220715961,115.63
2023-09-01,221769883,102.3
2023-10-01,222188195,102.49
2023-11-01,223220009,102.97
2023-12-01,224713710,103.66
2024-01-01,218400965,100.75
2024-02-01,219970313,101.47
2024-03-01,219304281,101.16
2024-04-01,216974742,100.09
2024-05-01,172141538,79.41
2024-06-01,170904257,78.84
2024-07-01,166656227,76.88
2024-08-01,159503865,73.58
2024-09-01,154904827,71.46
2024-10-01,157600321,72.7
2024-11-01,159852945,73.74
2024-12-01,164926599,76.08
2025-01-01,169318076,78.1
2025-02-01,170892944,78.83
2025-03-01,172708410,79.67
2025-04-01,172948309,79.78
2025-05-01,172671934,79.65
2025-06-01,171730064,79.22
2025-07-01,169328686,78.11
2025-08-01,171566422,79.14
2025-09-01,173541983,80.05
2025-10-01,175322398,80.87
2025-11-01,177426286,81.84
2025-12-01,179642333,82.87
